央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=bbd729a2fe6316d25d4e7144220a5b59e519dcc8e341d27145af29ef3cf28a0cd2cfcd849e14acce2c02dc2dc3b3869030593741980446e29066bc380d927ea9b9a56ddd31fc56824df3f39728760438&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=cca94ecad00169d39f7998993e2e0af4a77e6f3895ff8f089616b46f95315982f3b4c57814d77d955e68cb72aa0480093a598d1dac6e57314bc1c18a06e3111cb3b50704708aeb7a585de01e&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=06dcc8127c2951e54acb46a514ae60a263aa0e2a0e967178135d2620fb36325489b0a3b7a0d05ff1c3eda6219a00f47964c1956a80eb6335318401668da692363a18d356f1ab5547a681112035070e3a&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=b6fabbb67f7e436c826a346b5666a24a92174e3d0beed6c34065eecd48714de628aae82c07d5d9ef71fde9a45a498e4d36c279876489daa557ba314bef7baab02fbf994ef61bf23657c18c4c&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=6fb853adc7956ec1e202b9f13000034d6d3ada9ca9f847ae2113e42e4fb31dbd9145916b73bf1ff445afa2f95d900924e0a3a573e6549b4f03930a4d2c79696ccda462fee6d3d78a1c7705f6970abd06&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=82a28026b752449d9cc9163c92e3bdabc05d4843963a1513f5eaea6ae690ec29bbb12dd7e81e1dbe9ef66426c59d35e16de4750df8cfbfa6feab14de12cc24ec73f298b65d339c6e9c731254&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=2ec8153f3697b7f8406a60e2a3438f90705c5ca875c2929a55936374cf07caaa526f4509a58516dcabbd6c624fc343d4267a83db941f2b03b7720b1636c57b9639be4ad47c2332cac308f1f3bb8ebea4&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=423579792&sign=c907a4208d77cd9252c644345814d3d75a0c1aff2393df023279c97c373f866f4562b174de4d52a54f0d6282b237db694d411e6e981c7dbb8b630722e9ddd8ec64766a09da52ce5468d09482&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?userid=423579792&sign=ed0c5350ccb745aad458190f0a9fbd3d204fb8e4ce4fbfee3d4c02ac9bd1c8e8b081d3fd481f6512121ef87e489851590346187089d80bf4077ace6adb88f4bb2659a3eda00577fbfb172ccbc270a280&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?userid=423579792&sign=6c3df74152f37590fe2ce22ad71fd42663489dabf61b4d730d71471313fd5f2fa33e486d36ae307a792c0094d765032c9558090d9f85398cd6da9bfd201b6bddc93576598a24d23a4b9e95c5770f654d&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://mgtv.ottiptv.cc/mg/641886683.m3u8?userid=423579792&sign=829df35a28bb94cc1178252ba66bacc9ed1288ef9858f76267dc50550c84fa54bba0dbef69254cec3e093f46534cfb25e6af0a7c018f293d59687406eca9c19d0222356b8926b64658ad88e7bd40d6d0&auth_token=acb0c268be4342419aa3ba49796b45e0
